# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B354411865401063C0,     646.98,     473.12,   14.74,    5.41,  26.72,   -14.94
bld_B354411877401063C0,     649.30,     593.11,   12.62,   10.07,  67.35,    75.77
bld_B354411884001063C0,     648.63,     656.88,   21.09,   11.31,  70.50,    75.15
bld_B354421879101063C0,     654.12,     608.25,   14.08,    4.57,  37.94,   -15.06
bld_B354431865901063C0,     648.46,     478.66,   14.69,    6.40,  27.45,   -13.90
bld_B354431878501063C0,     652.88,     603.63,   14.13,    4.99,  37.33,   -15.06
bld_B354431880001063C0,     655.64,     617.74,   15.46,    5.91,  37.95,   -14.77
bld_B354431914901063C0,     668.35,     982.24,   45.65,   33.68,  27.41,   -80.99
bld_B354441860101063C0,     651.65,     419.26,   15.86,    5.29,  28.82,   -14.88
bld_B354441913801063C0,     659.30,     957.45,    8.37,    7.97,   8.92,   -80.89
bld_B354451860601063C0,     654.36,     423.91,   12.29,    5.13,  27.60,   -14.67
bld_B354461867301063C0,     653.04,     491.51,   16.52,    5.52,  26.62,   -15.37
bld_B354461886502063C0,     656.17,     684.05,   27.53,   12.05,  10.49,    75.36
bld_B354471861101063C0,     654.02,     429.24,   15.47,    5.53,  26.92,   -14.22
bld_B354471879401063C0,     654.33,     612.78,   15.50,    4.37,  37.94,   -14.75
bld_B354471886901063C0,     657.12,     686.18,   15.84,   11.28,  61.62,    75.08
bld_B354481868301063C0,     656.20,     505.34,   12.75,   10.04,  67.18,    75.74
bld_B354481881601063C0,     658.70,     638.95,   15.27,   13.35,  53.21,    75.03
bld_B354491861601063C0,     655.25,     434.09,   15.58,    5.40,  26.76,   -14.30
bld_B354501862101063C0,     656.34,     439.01,   15.12,    4.98,  32.78,   -15.16
bld_B354501868502063C0,     655.71,     504.17,   20.98,   15.04,  13.29,    75.20
bld_B354501882002063C0,     659.30,     638.84,   15.49,   14.31,  17.60,    75.06
bld_B354521862501063C0,     657.68,     444.03,   15.09,    5.48,  32.79,   -14.93
bld_B354521869801063C0,     658.58,     516.80,   14.20,    6.01,  27.42,   -14.72
bld_B354531870301063C0,     659.94,     521.90,   14.20,    4.56,  27.42,   -14.74
bld_B354541863001063C0,     659.65,     448.74,   16.48,    5.22,  22.02,   -14.93
